week,frm_30,points_30,frm_15,points_15,arm,arm_points,margin,spread,Previous_Year_Value,Previous_Year_Value_15,Previous_year_week,YoY_Change_Percent_30,YoY_Change_Percent_15
2022-01-06,3.22,0.7,2.43,0.6,2.41,0.5,2.75,0.81,,,,,
2022-01-13,3.45,0.7,2.62,0.7,2.57,0.3,2.75,0.8800000000000003,,,,,
2022-01-20,3.56,0.7,2.79,0.6,2.6,0.3,2.75,0.96,,,,,
2022-01-27,3.55,0.7,2.8,0.6,2.7,0.2,2.75,0.8499999999999996,,,,,
2022-02-03,3.55,0.8,2.77,0.7,2.71,0.3,2.76,0.8399999999999999,,,,,
2022-02-10,3.69,0.8,2.93,0.8,2.8,0.3,2.75,0.8900000000000001,,,,,
2022-02-17,3.92,0.8,3.15,0.8,2.98,0.3,2.75,0.94,,,,,
2022-02-24,3.89,0.8,3.14,0.7,2.98,0.3,2.75,0.9100000000000001,,,,,
2022-03-03,3.76,0.8,3.01,0.8,2.91,0.3,2.75,0.8499999999999996,,,,,
2022-03-10,3.85,0.8,3.09,0.8,2.97,0.3,2.75,0.8799999999999999,,,,,
2022-03-17,4.16,0.8,3.39,0.8,3.19,0.2,2.75,0.9700000000000002,,,,,
2022-03-24,4.42,0.8,3.63,0.8,3.36,0.3,2.75,1.06,,,,,
2022-03-31,4.67,0.8,3.83,0.8,3.5,0.3,2.75,1.17,,,,,
2022-04-07,4.72,0.8,3.91,0.8,3.56,0.3,2.75,1.1599999999999997,,,,,
2022-04-14,5.0,0.8,4.17,0.9,3.69,0.3,2.75,1.31,,,,,
2022-04-21,5.11,0.8,4.38,0.8,3.75,0.3,2.75,1.3600000000000003,,,,,
2022-04-28,5.1,0.8,4.4,0.9,3.78,0.3,2.75,1.3199999999999998,,,,,
2022-05-05,5.27,0.9,4.52,0.8,3.96,0.2,2.75,1.3099999999999996,,,,,
2022-05-12,5.3,0.9,4.48,0.9,3.98,0.3,2.75,1.3199999999999998,,,,,
2022-05-19,5.25,0.9,4.43,0.9,4.08,0.2,2.75,1.17,,,,,
2022-05-26,5.1,0.9,4.31,0.8,4.2,0.3,2.75,0.8999999999999995,,,,,
2022-06-02,5.09,0.8,4.32,0.8,4.04,0.3,2.75,1.0499999999999998,,,,,
2022-06-09,5.23,0.9,4.38,0.8,4.12,0.3,2.75,1.1100000000000003,,,,,
2022-06-16,5.78,0.9,4.81,0.9,4.33,0.3,2.75,1.4500000000000002,,,,,
2022-06-23,5.81,0.8,4.92,0.9,4.41,0.3,2.75,1.3999999999999995,,,,,
2022-06-30,5.7,0.9,4.83,0.9,4.5,0.3,2.75,1.2000000000000002,,,,,
2022-07-07,5.3,0.8,4.45,0.8,4.19,0.4,2.75,1.1099999999999994,,,,,
2022-07-14,5.51,0.8,4.67,0.8,4.35,0.2,2.75,1.1600000000000001,,,,,
2022-07-21,5.54,0.8,4.75,0.8,4.31,0.3,2.75,1.2300000000000004,,,,,
2022-07-28,5.3,0.8,4.58,0.8,4.29,0.3,2.75,1.0099999999999998,,,,,
2022-08-04,4.99,0.8,4.26,0.6,4.25,0.3,2.75,0.7400000000000002,,,,,
2022-08-11,5.22,0.7,4.59,0.7,4.43,0.0,2.75,0.79,,,,,
2022-08-18,5.13,0.8,4.55,0.7,4.39,0.3,2.75,0.7400000000000002,,,,,
2022-08-25,5.55,0.8,4.85,0.8,4.36,0.4,2.75,1.1899999999999995,,,,,
2022-09-01,5.66,0.8,4.98,0.8,4.51,0.4,2.75,1.1500000000000004,,,,,
2022-09-08,5.89,0.7,5.16,0.8,4.64,0.4,2.75,1.25,,,,,
2022-09-15,6.02,0.8,5.21,0.9,4.93,0.2,2.75,1.0899999999999999,,,,,
2022-09-22,6.29,0.9,5.44,1.0,4.97,0.4,2.75,1.3200000000000003,,,,,
2022-09-29,6.7,0.9,5.96,1.3,5.3,0.4,2.75,1.4000000000000004,,,,,
2022-10-06,6.66,0.8,5.9,1.0,5.36,0.3,2.75,1.2999999999999998,,,,,
2022-10-13,6.92,0.8,6.09,1.1,5.81,0.2,2.75,1.1100000000000003,,,,,
2022-10-20,6.94,0.9,6.23,1.1,5.71,0.4,2.75,1.2300000000000004,,,,,
2022-10-27,7.08,0.8,6.36,1.4,5.96,0.3,2.75,1.12,,,,,
2022-11-03,6.95,0.8,6.29,1.2,5.95,0.2,2.75,1.0,,,,,
